city,location,crime_index
CHICAGO,Lincoln,2263.220640569395
LA,Foothill,29771.876854843125
LA,Rampart,37578.03683910352
LA,Wilshire,24466.26187114213
LA,Northeast,26261.523989844656
CHICAGO,Central,4195.734451816963
CHICAGO,Jefferson Park,3447.2584689386963
LA,N Hollywood,23219.171839262137
LA,Topanga,22422.39265989667
CHICAGO,Englewood,22901.030086864514
CHICAGO,Gresham,17581.00061900766
LA,Harbor,36676.116032151825
NYC,BROOKLYN,6220.18859515891
CHICAGO,Morgan Park,10932.386299281203
CHICAGO,Wentworth,9854.784496063454
LA,Newton,42100.7967958716
LA,Van Nuys,22573.085761865113
LA,West LA,15184.35015200135
NYC,BRONX,6252.813833824071
CHICAGO,Deering,16181.544271529305
LA,Hollenbeck,38191.11159542325
LA,Mission,30235.119256441216
LA,Olympic,30427.666329625885
CHICAGO,Chicago Lawn,11401.20926558865
CHICAGO,Near North,5156.750356681269
CHICAGO,Ogden,20829.19438180776
LA,Devonshire,21548.715639256054
NYC,MANHATTAN,4229.585942024988
CHICAGO,Grand Central,12794.375730259166
CHICAGO,Near West,5711.910851511079
LA,West Valley,25577.177006627393
CHICAGO,Albany Park,5989.80584071925
CHICAGO,Grand Crossing,14856.848624100236
LA,Central,35036.272986179814
LA,Hollywood,30158.76213348627
LA,Southeast,51878.612357611324
CHICAGO,Shakespeare,5790.133919229965
LA,Pacific,21583.327615780447
NYC,QUEENS,4409.702073429646
NYC,STATEN ISLAND,4535.269314849374
CHICAGO,Austin,15815.700477572378
CHICAGO,Calumet,20809.791553934832
CHICAGO,Harrison,20929.71845705433
CHICAGO,Rogers Park,4042.40153644891
LA,77th Street,52672.506469663815
CHICAGO,South Chicago,15152.733555045514
CHICAGO,Town Hall,2218.8178973837266
LA,Southwest,38767.93118932627
