city,location,crime_index
NYC,2017,MANHATTAN,6648.586846248032
NYC,2012,BROOKLYN,8879.043650665095
NYC,2014,QUEENS,8056.402327115696
NYC,2015,MANHATTAN,7432.368315182234
NYC,2021,BROOKLYN,5549.4695513469305
NYC,2015,STATEN ISLAND,5236.671511103087
NYC,2021,MANHATTAN,3738.286269812016
NYC,2021,BRONX,5444.041061125331
NYC,2019,MANHATTAN,4021.609983724071
NYC,2014,BROOKLYN,7641.728377277715
NYC,2013,BROOKLYN,8392.263311549175
NYC,2013,QUEENS,9422.01174658385
NYC,2016,BROOKLYN,7675.007350272878
NYC,2012,QUEENS,8543.027451774593
NYC,2016,MANHATTAN,7766.324652867839
NYC,2019,QUEENS,4546.680203488056
NYC,2013,STATEN ISLAND,6496.988489525909
NYC,2018,BROOKLYN,7013.840932429657
NYC,2020,STATEN ISLAND,3616.631368631369
NYC,2016,BRONX,10692.126596881413
NYC,2014,MANHATTAN,6873.7165195549505
NYC,2018,QUEENS,5531.695268537942
NYC,2019,STATEN ISLAND,5068.617620537845
NYC,2013,MANHATTAN,7259.6013093568
NYC,2016,QUEENS,7237.885100420364
NYC,2017,STATEN ISLAND,4986.57349352356
NYC,2015,BROOKLYN,7793.516826855718
NYC,2021,STATEN ISLAND,4140.179314099075
NYC,2012,BRONX,13359.774270091819
NYC,2016,STATEN ISLAND,6363.141729029889
NYC,2017,QUEENS,6222.377638583719
NYC,2020,MANHATTAN,3467.361353035869
NYC,2021,QUEENS,3957.3075695798616
NYC,2019,BROOKLYN,6384.228592256232
NYC,2012,MANHATTAN,6964.975957436129
NYC,2013,BRONX,11632.076864572402
NYC,2018,STATEN ISLAND,5152.93291626564
NYC,2014,BRONX,11846.204868843179
NYC,2015,QUEENS,7037.139105726267
NYC,2014,STATEN ISLAND,6331.725505716799
NYC,2020,BRONX,5122.18926509941
NYC,2020,BROOKLYN,5824.604401620497
NYC,2015,BRONX,11690.430809723162
NYC,2018,BRONX,7963.623316422958
NYC,2019,BRONX,6300.997317216687
NYC,2018,MANHATTAN,5554.2205207274765
NYC,2017,BRONX,8988.531714789893
NYC,2012,STATEN ISLAND,7396.326027048798
NYC,2017,BROOKLYN,7148.823805020007
NYC,2020,QUEENS,3616.911867886431
