city,location,category,crime_count
CHICAGO,Albany Park,MAJOR THEFT,2677
CHICAGO,Austin,FRAUD,4134
CHICAGO,Deering,LYNCHING,362
CHICAGO,Grand Central,FRAUD,8566
CHICAGO,Grand Crossing,SEXUAL OFFENCES,1221
CHICAGO,Harrison,ASSAULT,52137
CHICAGO,Harrison,KIDNAPPING,90
CHICAGO,Jefferson Park,LYNCHING,159
CHICAGO,Lincoln,HOMICIDE,38
CHICAGO,Lincoln,OTHER,10394
CHICAGO,Morgan Park,HOMICIDE,229
CHICAGO,Near North,HOMICIDE,69
CHICAGO,Shakespeare,ASSAULT,19676
CHICAGO,Town Hall,FRAUD,13055
CHICAGO,Town Hall,HOMICIDE,66
LA,Devonshire,DRUGS,6
LA,Devonshire,TERRORISM,34
LA,Foothill,KIDNAPPING,249
LA,Hollenbeck,SHOOTING,9541
LA,Mission,KIDNAPPING,371
LA,N Hollywood,THEFT,69567
LA,Newton,MAJOR THEFT,19237
LA,Newton,SHOOTING,13799
LA,Newton,THEFT,48629
LA,Northeast,MAJOR THEFT,16007
LA,Olympic,SHOOTING,9163
LA,Olympic,TERRORISM,43
LA,Olympic,TRAFFIC,24
LA,Pacific,TERRORISM,172
LA,Rampart,MAJOR THEFT,17453
LA,Rampart,OTHER,5613
LA,Southwest,TRAFFIC,24
LA,Van Nuys,TERRORISM,49
LA,West Valley,SHOOTING,6569
LA,Wilshire,OTHER,5624
LA,Wilshire,TERRORISM,59
NYC,BRONX,THEFT,265254
NYC,MANHATTAN,HOMICIDE,24
NYC,MANHATTAN,LYNCHING,1557
NYC,MANHATTAN,SHOOTING,17063
NYC,STATEN ISLAND,DRUGS,6809
CHICAGO,Albany Park,ASSAULT,17976
CHICAGO,Albany Park,HOMICIDE,90
CHICAGO,Austin,DRUGS,18673
CHICAGO,Calumet,KIDNAPPING,106
CHICAGO,Central,DRUGS,2153
CHICAGO,Central,SEXUAL OFFENCES,1100
CHICAGO,Deering,KIDNAPPING,95
CHICAGO,Deering,OTHER,30729
CHICAGO,Deering,SHOOTING,3481
CHICAGO,Englewood,HUMAN TRAFFICKING,7
CHICAGO,Grand Central,HOMICIDE,288
CHICAGO,Grand Central,MAJOR THEFT,5593
CHICAGO,Grand Central,SEXUAL OFFENCES,1545
CHICAGO,Grand Crossing,MAJOR THEFT,6448
CHICAGO,Lincoln,ASSAULT,12080
CHICAGO,Near North,DRUGS,2128
CHICAGO,Near West,HOMICIDE,232
CHICAGO,Near West,HUMAN TRAFFICKING,7
CHICAGO,Ogden,FRAUD,4392
CHICAGO,Ogden,OTHER,29086
CHICAGO,Shakespeare,HOMICIDE,114
CHICAGO,Shakespeare,OTHER,20152
LA,77th Street,ASSAULT,30475
LA,Central,LYNCHING,330
LA,Devonshire,SEXUAL OFFENCES,1365
LA,Foothill,FRAUD,756
LA,Harbor,ASSAULT,16467
LA,Harbor,SHOOTING,9240
LA,Hollywood,DRUGS,1
LA,Hollywood,FRAUD,950
LA,Hollywood,SEXUAL OFFENCES,2427
LA,Mission,SEXUAL OFFENCES,2028
LA,N Hollywood,DRUGS,4
LA,N Hollywood,TRAFFIC,17
LA,Newton,DRUGS,1
LA,Olympic,LYNCHING,198
LA,Southeast,SEXUAL OFFENCES,2052
LA,Southwest,SHOOTING,15308
LA,Southwest,THEFT,66164
LA,West LA,TERRORISM,100
LA,West LA,THEFT,62817
LA,West Valley,ASSAULT,13214
LA,West Valley,THEFT,53819
NYC,BRONX,TRAFFIC,8553
NYC,BROOKLYN,HOMICIDE,64
NYC,BROOKLYN,THEFT,438787
NYC,MANHATTAN,KIDNAPPING,235
NYC,MANHATTAN,OTHER,334470
NYC,QUEENS,SEXUAL OFFENCES,15680
NYC,STATEN ISLAND,SHOOTING,3080
CHICAGO,Calumet,HUMAN TRAFFICKING,5
CHICAGO,Central,SHOOTING,814
CHICAGO,Chicago Lawn,ASSAULT,44894
CHICAGO,Deering,HUMAN TRAFFICKING,3
CHICAGO,Deering,SEXUAL OFFENCES,1247
CHICAGO,Englewood,DRUGS,13136
CHICAGO,Grand Central,ASSAULT,40343
CHICAGO,Grand Central,KIDNAPPING,127
CHICAGO,Harrison,HOMICIDE,774
CHICAGO,Jefferson Park,SHOOTING,594
CHICAGO,Morgan Park,DRUGS,4478
