year,location, severity
2016,Austin,10645.793632595467
2012,Central,1427.0015534298095
2014,Englewood,10917.298027663934
2022,Harrison,23564.662662662664
2020,Rogers Park,4159.641701617735
2014,Austin,8875.946303501945
2019,Grand Crossing,10001.207610789981
2015,Harrison,9819.895872470614
2014,Near North,1654.3204815073273
2015,Near West,3812.53243736519
2019,Rogers Park,3252.7264008076727
2012,Albany Park,3528.3642316349496
2012,Grand Central,5381.49581948222
2015,Gresham,8487.232037542013
2022,Town Hall,3118.4899821463996
2018,Calumet,14815.333051492347
2014,Rogers Park,4415.46981207517
2018,South Chicago,11250.663814616755
2021,Town Hall,2933.7411840828213
2016,Englewood,11939.412829761652
2018,Gresham,14146.515151515152
2012,Harrison,8694.638481449525
2020,Albany Park,6689.1313918049445
2017,Calumet,11795.52193359711
2018,Central,1434.2884024828488
2022,Gresham,17336.490894308943
2016,Grand Crossing,6226.931099305271
2018,Jefferson Park,2654.9148787313434
2012,Austin,8281.581091309434
2013,Central,1309.5477246591097
2016,Grand Central,6346.015514614212
2020,Grand Central,14098.94850899973
2019,Near North,2169.4373582388257
2014,Near West,2618.877562415251
2015,Town Hall,2026.3438107010418
2022,Austin,16570.853634714666
2015,Near North,1583.7572545144192
2014,Albany Park,3056.1322314049585
2022,Albany Park,6403.48322147651
2012,Chicago Lawn,5934.53355704698
2014,Shakespeare,2375.788780280493
2013,South Chicago,6603.913724612544
2019,South Chicago,14654.385385385385
2020,Calumet,21615.899921197793
2014,Chicago Lawn,5300.8516640952175
2018,Grand Central,8950.186332574032
2016,Harrison,12122.225505527096
2016,Jefferson Park,1893.6890270038577
2018,Lincoln,2370.3800904977375
2018,Near North,1523.404659949622
2018,Ogden,14716.102202643171
2015,Shakespeare,3071.468945868946
2017,Wentworth,5198.886260077112
2021,Wentworth,13067.147407803313
2018,Albany Park,4315.98219269103
2022,Jefferson Park,3756.5248459958934
2013,Lincoln,2767.2021233156393
2022,South Chicago,16090.338271816392
2012,Wentworth,5280.657588694244
2021,Central,7567.223041161129
2014,Lincoln,3426.4477473293077
2015,Lincoln,3278.187140115163
2022,Ogden,25976.836389447533
2012,South Chicago,7179.452178267401
2013,Austin,9411.933793103448
2022,Chicago Lawn,13412.345795918367
2017,Gresham,10413.115469208211
2012,Rogers Park,5050.66860949209
2022,Near North,7921.444638355633
2013,Calumet,8629.289290581737
2016,Calumet,10014.34958506224
2017,Grand Central,7069.111947719846
2016,Lincoln,3874.7088665447895
2016,Shakespeare,2455.846379360891
2012,Morgan Park,5803.681337866397
2022,Morgan Park,14049.520139549635
2018,Wentworth,5010.585048010974
2022,Deering,21598.080597014927
2019,Gresham,14390.377358490567
2020,Near North,7463.619897959184
2014,Morgan Park,6363.128785281682
2013,Wentworth,5075.8862411125865
2022,Shakespeare,6571.439549028334
2019,Albany Park,5360.119318181818
2013,Deering,6334.562504207338
2022,Near West,7182.087270228483
2015,Austin,10017.367750937472
2021,Austin,21180.883163265305
2014,Central,1318.5791163961462
2014,Grand Crossing,6804.547782818674
2021,Morgan Park,15695.88353765324
2021,Grand Crossing,20591.984584256672
2019,Harrison,17228.39454320855
2013,Jefferson Park,3176.393919365499
2015,Morgan Park,6019.089085820896
2012,Deering,8075.751428571429
2014,Deering,6084.2112372893935
2015,Deering,7568.650874224479
2013,Englewood,8882.350960215705
2013,Grand Crossing,7318.996118206862
2013,Gresham,7230.194854953475
2020,Gresham,21643.108960573478
2021,South Chicago,17419.937479541735
2022,Wentworth,13022.598635235732
2020,Deering,19878.91635647033
2020,Jefferson Park,3652.045004744476
2017,Near West,4011.2827295956713
2020,Near West,6435.114684892954
2020,Wentworth,11508.65067466267
2013,Harrison,9871.94326953821
2017,Harrison,13151.473743204619
2020,Lincoln,2488.886759142497
2013,Shakespeare,2745.9037462908013
2014,Calumet,9939.31729924091
2015,Grand Central,5863.045288135593
2013,Rogers Park,4780.760408303705
2017,Rogers Park,2852.1413690476193
2017,Town Hall,1591.4939636977629
2015,Albany Park,3127.6843077735252
2012,Calumet,9710.85818134614
2019,Chicago Lawn,9193.284334420776
2019,Lincoln,2110.2255673923114
2019,Ogden,16272.557305899372
2019,Shakespeare,4809.691097760787
2019,Jefferson Park,3153.0993071593534
2014,South Chicago,8010.920455229722
2019,Wentworth,8095.346119376232
2019,Austin,11841.357858861267
2020,Chicago Lawn,15268.226397659017
2018,Englewood,17551.058648744252
2019,Morgan Park,8219.328870496593
2012,Near West,3585.1608225514096
2013,Chicago Lawn,5070.650670360659
2013,Morgan Park,6967.986527384555
2013,Near North,1426.5031427019478
2014,Ogden,7845.445593777564
2017,Shakespeare,2617.6219487593303
2022,Calumet,24898.969814522974
2013,Near West,3503.6266268401964
2013,Grand Central,5316.308030431107
2018,Grand Crossing,8679.116057233705
2022,Grand Crossing,18827.52182163188
2020,Harrison,23846.641945288753
2017,Chicago Lawn,5898.79269786817
2020,Grand Crossing,18067.537855178736
2014,Jefferson Park,3000.6581106669473
2016,Town Hall,1876.2672719768882
2016,Albany Park,3132.2087812459527
2017,Grand Crossing,8367.815583586142
2015,Jefferson Park,2771.051453647833
2021,Jefferson Park,4163.83761021187
2020,Ogden,24651.48771228771
2017,Albany Park,2333.7251986670085
2016,Morgan Park,6175.171622570827
2013,Town Hall,1832.7198917456021
2019,Town Hall,1819.6895306859205
2019,Grand Central,9100.546528803545
2014,Harrison,9967.100840336134
2018,Near West,3405.4608033563827
2013,Ogden,8180.94133697135
2014,Town Hall,2130.781635675498
2018,Austin,12847.041670850487
2020,Austin,18280.012923704795
2017,Central,1153.337293729373
2018,Deering,9774.433991731741
2021,Deering,18552.746038830617
2020,Englewood,28885.097454358445
2017,Lincoln,2874.3445061043285
2020,Morgan Park,11974.610481586402
2016,Near North,1589.8787971770482
2016,South Chicago,6836.044358080943
2017,South Chicago,9721.111156882938
2013,Albany Park,2623.688232536334
2019,Central,1538.9626186840183
2020,Central,7727.812248873737
2014,Gresham,7616.500304247292
2012,Jefferson Park,2367.0113097409703
2018,Rogers Park,3342.0441798941797
2014,Grand Central,5313.003351811267
2018,Shakespeare,4143.875871080139
2018,Chicago Lawn,6447.906257729409
2017,Englewood,15250.851992409867
2012,Near North,1400.6136886904346
2016,Ogden,9469.871427427748
2015,Central,1236.9806188371301
2015,Chicago Lawn,5471.716815203919
2017,Austin,13646.28
2016,Deering,7880.386973788722
2017,Near North,1160.157660692629
2021,Ogden,26560.90134228188
2015,South Chicago,7365.957969151671
2015,Calumet,10316.824531516184
2021,Calumet,28389.71758230126
2021,Harrison,28305.67450859
2017,Morgan Park,7265.7581350169985
2018,Morgan Park,6427.472871955631
2016,Near West,3193.0257809694795
2019,Near West,5103.5415675136255
2020,South Chicago,17050.977510503337
2019,Deering,13217.780314097881
2018,Harrison,15696.984759173703
2022,Grand Central,16283.899584136323
2012,Grand Crossing,7904.795241568935
2012,Gresham,8663.861471861472
2021,Near West,6972.750402881789
2012,Shakespeare,3158.845192915876
2021,Lincoln,1499.3408093612873
2015,Rogers Park,4545.139365725924
2018,Town Hall,1687.8291239476537
2021,Albany Park,7840.192300805729
2021,Chicago Lawn,14559.138251409513
2017,Deering,9795.600964436408
2015,Ogden,9788.341603053435
2020,Town Hall,1704.4675666776425
2022,Central,6379.797141796585
2012,Englewood,10025.904494382023
2022,Englewood,25491.112482853223
2021,Grand Central,17421.734989648034
2012,Lincoln,3486.3892570631324
2022,Lincoln,2842.0214164030176
2012,Town Hall,2538.8568527918783
2016,Wentworth,4845.3436587308615
2019,Calumet,17047.8690318595
2016,Chicago Lawn,4875.990589855405
2021,Englewood,28014.43122102009
2017,Jefferson Park,2653.9986282578875
2012,Ogden,7838.949420442571
2021,Rogers Park,4538.459976105138
2015,Englewood,10861.95887230514
2021,Shakespeare,7235.178893565845
2016,Central,1368.041583720416
2021,Gresham,21772.824790167866
2021,Near North,10691.385607534035
2015,Grand Crossing,7194.398498005163
2017,Ogden,14999.270920840065
2020,Shakespeare,7207.975076923077
2015,Wentworth,5204.009728183119
2019,Englewood,17805.28441036875
2016,Gresham,6224.8419811320755
2016,Rogers Park,4231.023855223471
2022,Rogers Park,5095.687455805402
2014,Wentworth,5174.688160768895
