city, time, location, severity
CHICAGO,0,Lincoln,818.3566591422122
CHICAGO,1,Albany Park,18111.437735849056
CHICAGO,1,Lincoln,4423.929260450161
CHICAGO,1,Rogers Park,7332.0225442834135
CHICAGO,1,South Chicago,31521.402985074626
CHICAGO,2,Austin,28265.60794044665
CHICAGO,2,Ogden,27085.208839779007
CHICAGO,3,Central,6026.217948717948
CHICAGO,3,Chicago Lawn,24965.01257861635
CHICAGO,3,Lincoln,856.7799227799228
CHICAGO,4,Chicago Lawn,20175.3995157385
CHICAGO,4,Wentworth,14097.504237288136
CHICAGO,5,Morgan Park,7262.941176470588
CHICAGO,5,South Chicago,14781.815431164901
CHICAGO,5,Town Hall,531.5260416666666
CHICAGO,7,Deering,5809.36217948718
CHICAGO,7,Grand Crossing,6587.033734939759
CHICAGO,7,Gresham,5703.461538461538
CHICAGO,7,Harrison,13139.142857142857
CHICAGO,7,Near North,1930.9467084639498
CHICAGO,8,Austin,7969.778265642151
CHICAGO,8,Deering,6180.650655021834
CHICAGO,8,Shakespeare,1946.5128205128206
CHICAGO,10,Shakespeare,4301.6107382550335
CHICAGO,10,Wentworth,4404.314544189283
CHICAGO,11,Deering,10406.118518518519
CHICAGO,11,Morgan Park,9860.465433300877
CHICAGO,11,Near North,2661.686891385768
CHICAGO,11,Rogers Park,3278.7755102040815
CHICAGO,12,Chicago Lawn,19840.218978102188
CHICAGO,13,Rogers Park,2491.0
CHICAGO,14,Grand Central,8294.984404242046
CHICAGO,14,Jefferson Park,3189.7021677662583
CHICAGO,14,Morgan Park,8537.522339561332
CHICAGO,14,Near North,3417.328023892484
CHICAGO,15,Rogers Park,2828.896790980052
CHICAGO,15,Shakespeare,2653.0607929515418
CHICAGO,15,South Chicago,10481.59686888454
CHICAGO,15,Wentworth,6437.724759615385
CHICAGO,16,Chicago Lawn,6105.880341880342
CHICAGO,16,Harrison,18256.68771331058
CHICAGO,16,Near North,6235.889502762431
CHICAGO,16,Ogden,16168.10209102091
CHICAGO,18,Calumet,28388.686333534017
CHICAGO,18,Grand Crossing,15338.192174913695
CHICAGO,18,Morgan Park,7986.523809523809
CHICAGO,18,South Chicago,15219.108137044968
CHICAGO,19,Albany Park,5023.206040992449
CHICAGO,19,Grand Central,16510.731815657968
CHICAGO,19,Lincoln,457.5830721003135
CHICAGO,19,Rogers Park,3195.6119133574007
CHICAGO,20,Ogden,30777.611957796013
CHICAGO,21,Calumet,28384.458252427183
CHICAGO,21,Rogers Park,7725.958372753074
CHICAGO,21,Wentworth,16860.580511402903
CHICAGO,22,Calumet,36507.17715768981
CHICAGO,22,Deering,23654.827057182705
CHICAGO,22,Grand Crossing,21145.90422885572
CHICAGO,22,Near North,10488.326120556414
CHICAGO,22,South Chicago,24750.606593406592
CHICAGO,22,Town Hall,4030.6572327044023
CHICAGO,23,Central,15253.80745341615
CHICAGO,23,Lincoln,2126.4630071599045
CHICAGO,23,Ogden,36535.010128291695
CHICAGO,0,Albany Park,2964.326605504587
CHICAGO,0,Chicago Lawn,6244.741333333333
CHICAGO,0,Englewood,15450.437131630648
CHICAGO,0,Grand Central,6636.890382626681
CHICAGO,0,Harrison,15673.386247256767
CHICAGO,0,Near West,2898.906857727738
CHICAGO,0,Shakespeare,2585.40830449827
CHICAGO,0,Town Hall,810.5140732873075
CHICAGO,1,Austin,27795.140625
CHICAGO,1,Calumet,30532.422319474837
CHICAGO,1,Harrison,33991.432167832165
CHICAGO,1,Jefferson Park,8876.91386861314
CHICAGO,1,Wentworth,19187.964601769912
CHICAGO,2,Calumet,23776.48076923077
CHICAGO,2,Central,12173.449511400651
CHICAGO,2,Gresham,23646.50608272506
CHICAGO,3,Near North,5026.895454545454
CHICAGO,3,Rogers Park,9332.727272727272
CHICAGO,4,Albany Park,13000.140845070422
CHICAGO,4,Central,4142.268792710706
CHICAGO,4,Grand Crossing,25726.637015781922
CHICAGO,4,Ogden,24976.666666666668
CHICAGO,5,Albany Park,11393.440273037542
CHICAGO,5,Austin,10609.256235827665
CHICAGO,5,Calumet,10775.880308880309
CHICAGO,5,Central,2691.2165450121656
CHICAGO,5,Chicago Lawn,13530.050599201066
CHICAGO,5,Lincoln,2439.4285714285716
CHICAGO,6,Grand Crossing,5573.923780487805
CHICAGO,6,Lincoln,8392.851485148514
CHICAGO,6,Near North,3922.123966942149
CHICAGO,7,Albany Park,5700.995192307692
CHICAGO,7,Central,2333.069696969697
CHICAGO,7,Rogers Park,809.7878787878788
CHICAGO,7,Town Hall,1018.9983079526227
CHICAGO,8,Englewood,6561.525486561631
CHICAGO,8,Grand Crossing,4804.521663778163
CHICAGO,8,Near West,3655.798922800718
CHICAGO,9,Austin,5189.029641185647
CHICAGO,9,Central,1615.0391459074733
CHICAGO,9,Near North,827.4793388429752
CHICAGO,9,Near West,2458.6370683579985
CHICAGO,9,South Chicago,5695.949720670391
CHICAGO,10,Grand Central,6113.562294001318
CHICAGO,10,Near North,958.0976744186047
CHICAGO,11,Calumet,18608.472491909386
CHICAGO,11,Central,2683.0573248407645
CHICAGO,12,Calumet,25033.426872770513
CHICAGO,12,Grand Crossing,20622.52510460251
CHICAGO,12,Rogers Park,4148.51397515528
CHICAGO,13,Grand Crossing,10946.225
CHICAGO,13,Gresham,15961.002476473503
CHICAGO,13,Jefferson Park,2990.116760828625
CHICAGO,13,Morgan Park,12246.99107142857
CHICAGO,13,Near North,2656.180374361883
CHICAGO,13,South Chicago,11677.197992191857
CHICAGO,13,Wentworth,7415.328068916008
CHICAGO,14,Albany Park,6880.881856540084
CHICAGO,14,South Chicago,11407.03537338574
CHICAGO,14,Town Hall,948.7435265104809
CHICAGO,15,Calumet,17682.724226804123
CHICAGO,15,Lincoln,1484.3309143686502
CHICAGO,16,Austin,13150.931087289433
CHICAGO,16,Grand Central,9693.81243301179
CHICAGO,16,Gresham,12745.576124567475
CHICAGO,16,Near West,3402.3325526932085
CHICAGO,16,Rogers Park,2668.6666666666665
CHICAGO,16,Shakespeare,5413.45818815331
CHICAGO,16,South Chicago,11299.217644207465
CHICAGO,17,Austin,12609.973499610289
CHICAGO,17,Central,3367.0280373831774
CHICAGO,17,Deering,10077.742222222223
CHICAGO,17,Grand Central,10155.179350718467
CHICAGO,17,Near North,5499.593317422435
CHICAGO,17,Wentworth,7605.351581508516
CHICAGO,18,Central,4039.5048198883815
CHICAGO,18,Town Hall,1382.3037249283668
CHICAGO,19,Austin,24093.66096654275
CHICAGO,19,Morgan Park,17652.066666666666
CHICAGO,20,Calumet,30582.683718028697
CHICAGO,20,Central,6998.7806451612905
CHICAGO,20,Englewood,40369.81611570248
CHICAGO,20,Rogers Park,5293.8010563380285
CHICAGO,20,Town Hall,1825.5231175693527
CHICAGO,21,Austin,26340.798540145985
CHICAGO,21,Ogden,35215.469104665826
CHICAGO,22,Harrison,35045.94114713217
CHICAGO,22,Morgan Park,20235.82300884956
CHICAGO,22,Near West,9975.074096028453
CHICAGO,23,Calumet,36588.148033924444
CHICAGO,23,Chicago Lawn,24986.884287454322
CHICAGO,23,Grand Central,26203.092297015963
CHICAGO,23,Gresham,36017.623128549305
CHICAGO,23,Rogers Park,9410.437652811735
CHICAGO,23,Shakespeare,10466.04972972973
CHICAGO,23,Wentworth,15996.573770491803
CHICAGO,0,Calumet,17283.59788918206
CHICAGO,1,Morgan Park,19252.594594594593
CHICAGO,1,Town Hall,3279.795031055901
CHICAGO,2,Harrison,34166.84053156146
CHICAGO,2,Lincoln,1641.8666666666666
CHICAGO,2,Near North,7911.280397022332
CHICAGO,2,Rogers Park,5584.027613412229
CHICAGO,3,Calumet,21470.83503649635
CHICAGO,3,Morgan Park,8357.292792792792
CHICAGO,3,Town Hall,2799.01329394387
CHICAGO,4,Deering,17530.263665594855
CHICAGO,4,Grand Central,18500.433628318584
CHICAGO,4,Lincoln,573.78125
CHICAGO,5,Jefferson Park,4859.560859188544
CHICAGO,5,Shakespeare,6650.93125
CHICAGO,6,Calumet,15788.856596558317
CHICAGO,6,Jefferson Park,5597.884861407249
CHICAGO,6,Shakespeare,3989.036211699164
CHICAGO,6,South Chicago,6147.991071428572
CHICAGO,6,Wentworth,6553.638461538461
CHICAGO,7,Austin,7191.881481481481
CHICAGO,7,Englewood,7904.126422250316
CHICAGO,8,Chicago Lawn,2693.9342723004693
CHICAGO,8,Gresham,4270.17349726776
CHICAGO,8,South Chicago,6010.069423929099
CHICAGO,9,Chicago Lawn,3221.3131105398456
CHICAGO,9,Gresham,4730.671618037135
CHICAGO,9,Jefferson Park,1242.660580912863
CHICAGO,9,Lincoln,1180.8636363636363
CHICAGO,9,Morgan Park,4433.966511627907
CHICAGO,10,Grand Crossing,8620.835860250494
CHICAGO,10,Harrison,14999.028636884306
CHICAGO,10,Lincoln,1313.686746987952
CHICAGO,10,South Chicago,5928.921679909194
CHICAGO,11,Gresham,16495.616273693944
CHICAGO,11,Near West,3146.330123796424
CHICAGO,11,Shakespeare,5476.317073170731
CHICAGO,11,South Chicago,10777.93374508703
CHICAGO,12,Albany Park,8024.31977818854
CHICAGO,12,Gresham,23833.79160186625
CHICAGO,12,Near West,8159.981866666667
CHICAGO,12,South Chicago,20811.669022869024
CHICAGO,12,Town Hall,2748.2122492080252
CHICAGO,14,Deering,12000.766853932584
CHICAGO,14,Gresham,18183.01216545012
CHICAGO,14,Near West,4034.6516853932585
CHICAGO,15,Albany Park,3385.135969141755
CHICAGO,15,Grand Central,9396.983903420523
CHICAGO,15,Gresham,14008.383779264213
CHICAGO,16,Central,3184.726605504587
CHICAGO,16,Deering,11893.597131681878
CHICAGO,16,Lincoln,1272.1196105702365
CHICAGO,17,Albany Park,4379.607350096712
CHICAGO,17,Calumet,23648.880848409233
CHICAGO,17,Chicago Lawn,8531.889179755672
CHICAGO,17,Harrison,15993.307178631052
CHICAGO,17,Shakespeare,4581.441860465116
CHICAGO,18,Englewood,25366.263896687255
CHICAGO,18,Harrison,17973.415765069552
CHICAGO,19,Gresham,26192.882046834344
CHICAGO,19,Ogden,33298.89173457509
CHICAGO,19,Town Hall,3083.536496350365
CHICAGO,19,Wentworth,15817.640614562459
CHICAGO,20,Chicago Lawn,17752.963336388635
CHICAGO,20,Deering,26526.87601246106
CHICAGO,20,Gresham,31712.015192135834
CHICAGO,20,Jefferson Park,3739.7852813852815
CHICAGO,20,Lincoln,3149.2388797364088
CHICAGO,20,Shakespeare,9626.496913580248
CHICAGO,21,Chicago Lawn,20775.58494511239
CHICAGO,21,Deering,28297.883534136545
CHICAGO,21,Town Hall,2731.832460732984
CHICAGO,22,Albany Park,10345.083333333334
CHICAGO,22,Austin,22276.566176470587
CHICAGO,22,Englewood,44578.554790894654
CHICAGO,23,Morgan Park,24326.71381936888
CHICAGO,23,South Chicago,28830.664395229982
CHICAGO,23,Town Hall,5423.83865248227
CHICAGO,0,Austin,12072.450199203187
CHICAGO,0,Deering,11137.304142011835
CHICAGO,0,Grand Crossing,11186.973697782361
CHICAGO,0,Near North,3025.424332344214
CHICAGO,1,Chicago Lawn,34306.1935483871
CHICAGO,2,Grand Central,24192.200584225902
CHICAGO,2,Grand Crossing,29528.928641251223
CHICAGO,2,Jefferson Park,5834.36026936027
CHICAGO,2,Morgan Park,19332.22140221402
CHICAGO,2,Shakespeare,16345.216642754664
CHICAGO,2,South Chicago,28575.887054735012
CHICAGO,3,Albany Park,9234.779443254818
CHICAGO,3,Deering,30149.294294294294
CHICAGO,3,Grand Crossing,25501.527405602923
CHICAGO,3,South Chicago,28185.472987872105
CHICAGO,4,Calumet,14201.245217391304
CHICAGO,4,Englewood,12761.234806629835
CHICAGO,4,Gresham,15513.67944250871
CHICAGO,5,Wentworth,9021.662921348314
CHICAGO,6,Central,3190.4873949579833
CHICAGO,6,Chicago Lawn,5783.817739975699
CHICAGO,6,Grand Central,8296.087947882736
CHICAGO,7,Calumet,8910.383233532933
CHICAGO,7,Near West,4072.95
CHICAGO,8,Albany Park,4107.744262295082
CHICAGO,8,Jefferson Park,1908.0403321470937
CHICAGO,8,Near North,1700.3482905982905
CHICAGO,8,Ogden,8732.33829787234
CHICAGO,9,Albany Park,3140.6519480519482
CHICAGO,9,Harrison,10379.487018800359
CHICAGO,9,Rogers Park,941.058212058212
CHICAGO,10,Calumet,15612.4
CHICAGO,10,Gresham,7560.944252590035
CHICAGO,10,Ogden,9753.637377963738
CHICAGO,11,Harrison,17493.912532157294
CHICAGO,11,Ogden,16073.742574257425
CHICAGO,12,Austin,21778.705339485827
CHICAGO,12,Grand Central,18236.94094094094
CHICAGO,12,Wentworth,14265.621323529413
CHICAGO,13,Ogden,15873.193370165745
CHICAGO,14,Englewood,18395.01243339254
CHICAGO,15,Harrison,18067.300272975433
CHICAGO,15,Jefferson Park,2041.693522906793
CHICAGO,15,Near North,8357.865190178141
CHICAGO,15,Town Hall,1559.3803145020383
CHICAGO,16,Calumet,13134.443121693123
CHICAGO,16,Wentworth,7221.384423676012
CHICAGO,17,Grand Crossing,11367.317460317461
CHICAGO,17,Morgan Park,7368.80701754386
CHICAGO,17,Ogden,18745.665422885573
CHICAGO,17,Rogers Park,1969.2524752475247
CHICAGO,18,Wentworth,10338.0
CHICAGO,20,Austin,28083.54982578397
CHICAGO,20,Grand Central,16982.140632847815
CHICAGO,20,Morgan Park,25768.567078972406
CHICAGO,20,Near North,10679.234738829453
CHICAGO,21,Englewood,40847.9565689468
CHICAGO,21,Gresham,35540.2905904059
CHICAGO,21,Shakespeare,9501.898214285715
CHICAGO,21,South Chicago,30402.0607028754
CHICAGO,22,Central,12434.333333333334
CHICAGO,22,Lincoln,5035.487378640777
CHICAGO,22,Ogden,34968.86978508218
CHICAGO,22,Shakespeare,6960.328251121076
CHICAGO,22,Wentworth,15582.766243465272
CHICAGO,23,Albany Park,11395.29411764706
CHICAGO,23,Deering,31818.673829623945
CHICAGO,23,Near North,15060.252019386107
CHICAGO,0,Central,1559.1703767123288
CHICAGO,0,Ogden,12432.953795379539
CHICAGO,0,South Chicago,9344.034069981584
CHICAGO,0,Wentworth,7550.984332793085
CHICAGO,1,Central,14195.645892351275
CHICAGO,1,Deering,28211.781036168133
CHICAGO,1,Englewood,27429.259710586444
CHICAGO,1,Grand Crossing,28975.686927560368
CHICAGO,1,Gresham,29930.722891566264
CHICAGO,1,Near North,7783.286624203822
CHICAGO,1,Near West,10506.620689655172
CHICAGO,2,Deering,28497.875609756098
CHICAGO,2,Englewood,23328.31940575673
CHICAGO,2,Near West,13479.700892857143
CHICAGO,3,Austin,15253.35463258786
CHICAGO,3,Ogden,22122.233160621763
CHICAGO,3,Shakespeare,14544.530909090909
CHICAGO,4,Jefferson Park,10010.048484848485
CHICAGO,4,Town Hall,2443.4644194756556
CHICAGO,5,Deering,14502.055452865065
CHICAGO,5,Grand Central,15267.223880597016
