loc,hour,severity_index
77th Street,3,42750.95718990121
77th Street,4,45845.34036939314
77th Street,7,43327.413978494624
77th Street,9,58731.92550143266
77th Street,12,49653.25418326693
77th Street,13,62350.96444444444
77th Street,16,61922.26601466993
Central,1,45618.85806974858
Central,6,31976.203271028036
Central,9,39701.51812080537
Central,14,33485.97002583979
Central,15,34012.418
Central,16,35713.08358509567
Devonshire,0,22479.27353266888
Devonshire,2,23194.09403254973
Devonshire,6,17563.643564356436
Devonshire,22,26697.603738317757
Foothill,1,40003.48310810811
Foothill,4,25480.252808988764
Foothill,23,36212.31151241535
Harbor,0,41011.28091603053
Harbor,2,45455.51703703704
Harbor,12,26994.25
Harbor,21,44737.99036476256
Hollenbeck,3,37474.95969289827
Hollenbeck,14,30932.21711131555
Hollenbeck,20,37238.07317073171
Hollywood,8,30117.065743944637
Hollywood,10,31953.252840909092
Hollywood,21,31776.957099697884
Hollywood,23,37003.87243735763
Mission,11,34714.50338818974
Mission,14,27030.03300330033
N Hollywood,2,28330.26570048309
N Hollywood,6,20875.25
N Hollywood,11,26626.225352112677
N Hollywood,14,20855.987523393636
Newton,5,38284.11091234347
Newton,13,45170.66812545587
Newton,14,44552.7012987013
Newton,20,42770.86084507042
Newton,22,49700.28645495787
Newton,23,45732.99378881988
Northeast,2,32938.51717902351
Northeast,10,19523.789646672143
Northeast,14,24720.700143472022
Northeast,19,31097.725584182146
Olympic,11,34423.46875
Olympic,12,20833.227835051548
Pacific,0,23237.91780821918
Pacific,4,19224.660130718956
Pacific,10,24898.285171102663
Pacific,21,27713.930244664236
Rampart,15,34064.91513437058
Rampart,17,32820.3630880579
Southeast,1,63146.67835051547
Southeast,3,53740.97635605007
Southeast,21,61779.34896705751
Southeast,22,51523.14986666667
Southwest,18,39355.0350877193
Topanga,0,28093.891041162227
Topanga,16,20518.04275862069
Topanga,23,36376.24236252546
Van Nuys,4,18101.146666666667
Van Nuys,6,32244.772908366533
Van Nuys,15,23339.45518207283
Van Nuys,16,17032.26883910387
Van Nuys,21,23949.921126760564
Van Nuys,22,29884.714632174615
Van Nuys,23,27990.29126213592
West LA,3,13339.578558225508
West LA,12,11530.94560669456
West LA,13,16701.978783592644
West Valley,0,30247.49655850541
West Valley,2,27505.885714285716
West Valley,8,23393.748680042238
West Valley,10,30764.948259642522
West Valley,23,32124.851311953353
Wilshire,2,23705.244514106584
77th Street,2,53311.677888989994
77th Street,15,58896.63043478261
77th Street,19,56140.121863799286
Central,3,40660.77419354839
Central,8,35333.05578231293
Central,21,35535.09255319149
Devonshire,21,30239.83987915408
Foothill,0,48492.479360852194
Foothill,14,27819.58648111332
Foothill,15,34189.708721422525
Foothill,17,28495.632112236945
Foothill,19,39941.43513957307
Harbor,6,18328.797047970478
Hollenbeck,0,49054.624591947766
Hollenbeck,6,25955.921971252566
