city,time_bucket,location,crime_index
NYC,0,QUEENS,4059.862294086389
NYC,1,MANHATTAN,6061.029847446385
NYC,5,BROOKLYN,4991.249222892668
NYC,6,QUEENS,11669.10731511254
NYC,8,BROOKLYN,2451.02339760689
NYC,11,BRONX,2554.5712815234174
NYC,12,QUEENS,2420.009235936188
NYC,13,STATEN ISLAND,3606.615222728867
NYC,14,QUEENS,3896.4064186310707
NYC,15,QUEENS,3725.38429279451
NYC,15,STATEN ISLAND,3834.3891074130106
NYC,16,BRONX,5902.20164126612
NYC,16,QUEENS,4247.082845298414
NYC,16,STATEN ISLAND,5245.0912523599745
NYC,17,BROOKLYN,5529.748492756232
NYC,18,BROOKLYN,5765.8259643377005
NYC,18,QUEENS,3708.5800172477516
NYC,21,BROOKLYN,8553.633474806835
NYC,3,BRONX,5567.342239815273
NYC,3,MANHATTAN,3864.792612776264
NYC,4,MANHATTAN,3894.2309493784905
NYC,5,STATEN ISLAND,4294.30981595092
NYC,7,MANHATTAN,2670.1089611637162
NYC,8,BRONX,2637.548103123035
NYC,10,QUEENS,2849.230661164281
NYC,14,BROOKLYN,3726.76709563462
NYC,17,QUEENS,4258.01213592233
NYC,19,BROOKLYN,6521.872307393751
NYC,20,BRONX,6153.530955669974
NYC,20,BROOKLYN,7593.334859703819
NYC,21,MANHATTAN,5229.872599598739
NYC,22,MANHATTAN,5348.872138652714
NYC,23,STATEN ISLAND,5653.574588235294
NYC,0,MANHATTAN,4880.724404805779
NYC,0,STATEN ISLAND,4031.060054242542
NYC,1,BRONX,9097.012695533893
NYC,1,BROOKLYN,11912.699437022098
NYC,1,QUEENS,5021.119276301094
NYC,2,BRONX,7354.840292131735
NYC,5,BRONX,5363.519768991559
NYC,6,BRONX,8800.190630703712
NYC,7,BRONX,3003.77320559133
NYC,8,QUEENS,3939.7367744699077
NYC,9,QUEENS,2744.6765311122
NYC,10,STATEN ISLAND,2598.339753466872
NYC,12,BRONX,2976.599732262383
NYC,12,BROOKLYN,2630.8762575919145
NYC,12,MANHATTAN,2021.2802619461781
NYC,12,STATEN ISLAND,1752.62821213778
NYC,13,BROOKLYN,3227.8249495885334
NYC,14,BRONX,4215.623326706428
NYC,17,MANHATTAN,4208.576698372845
NYC,20,QUEENS,4438.568248009838
NYC,20,STATEN ISLAND,6251.510316368638
NYC,21,QUEENS,4523.30773154558
NYC,23,BROOKLYN,10276.480340760158
NYC,23,MANHATTAN,4918.5166997653005
NYC,1,STATEN ISLAND,5337.3671350030545
NYC,2,STATEN ISLAND,3494.2173252279636
NYC,4,STATEN ISLAND,4532.55
NYC,6,BROOKLYN,16043.032956831194
NYC,10,BRONX,2324.694708994709
NYC,10,MANHATTAN,2078.6861510154977
NYC,13,BRONX,3682.3660188457006
NYC,13,QUEENS,3134.116175567833
NYC,14,MANHATTAN,2575.505664263646
NYC,15,BRONX,4199.901391554702
NYC,15,MANHATTAN,2914.603558926488
NYC,17,BRONX,6064.282882066387
NYC,17,STATEN ISLAND,4826.871049304677
NYC,18,MANHATTAN,4635.646034915271
NYC,19,QUEENS,4200.18317288672
NYC,19,STATEN ISLAND,5533.302423603794
NYC,22,BROOKLYN,9608.276313461878
NYC,0,BRONX,8045.433265555103
NYC,2,BROOKLYN,8517.276679841898
NYC,2,MANHATTAN,5635.751866151866
NYC,3,QUEENS,3327.3495217071377
NYC,4,BRONX,4967.920161142648
NYC,7,BROOKLYN,5204.716435457324
NYC,7,STATEN ISLAND,3521.3423959218353
NYC,8,MANHATTAN,2157.144793152639
NYC,9,BRONX,2806.9313091556555
NYC,9,BROOKLYN,2579.376728030566
NYC,9,STATEN ISLAND,2391.8836168307967
NYC,11,QUEENS,2802.145666550644
NYC,13,MANHATTAN,2643.7582741981264
NYC,14,STATEN ISLAND,3755.531007751938
NYC,15,BROOKLYN,3566.8740338983052
NYC,16,BROOKLYN,5043.616876237852
NYC,19,MANHATTAN,4764.673822166987
NYC,22,BRONX,9191.033893309756
NYC,2,QUEENS,3821.477060602077
NYC,3,BROOKLYN,8487.071499750871
NYC,3,STATEN ISLAND,3522.102658111824
NYC,4,BROOKLYN,5176.756328148826
NYC,5,QUEENS,6545.446709129512
NYC,6,MANHATTAN,7666.288793103448
NYC,7,QUEENS,5126.307838781339
NYC,8,STATEN ISLAND,2835.6143222506394
NYC,9,MANHATTAN,2201.9081504702194
NYC,10,BROOKLYN,2677.7238948995364
NYC,11,BROOKLYN,3002.973408443879
NYC,11,STATEN ISLAND,2423.756389776358
NYC,16,MANHATTAN,4273.050395116642
NYC,18,STATEN ISLAND,3793.6089494163425
NYC,21,BRONX,7761.090119285665
NYC,22,QUEENS,4314.175574290355
NYC,22,STATEN ISLAND,5022.877917414722
NYC,23,BRONX,9140.49044640562
NYC,0,BROOKLYN,9017.675268817204
NYC,4,QUEENS,4385.241948802643
NYC,5,MANHATTAN,4293.086547507056
NYC,6,STATEN ISLAND,18734.66753246753
NYC,11,MANHATTAN,1866.3025011488216
NYC,18,BRONX,6871.545911375057
NYC,19,BRONX,6620.977718736791
NYC,20,MANHATTAN,4406.286902286903
NYC,21,STATEN ISLAND,6109.298403602129
NYC,23,QUEENS,4704.744396965205
